TestCase,Test Scenario,Objective,Precondition,Test Steps,Test Data,Expected Result,Actual Result,Pass/Fail
TC_LG_11,TS_01 (Login),Validate empty Email/Mobile number field is not allowed,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Do not fill the Email/Mobile number field
3) Click Request OTP",,"The Email/Mobile number should show the error ""Please enter valid Email ID/Mobile number""","The Email/Mobile number shows the error ""Please enter valid Email ID/Mobile number""",Pass
TC_LG_12,TS_01 (Login),Validate spaces is not allowed in Email/Mobile number field,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Start Filling the Email/Mobile number with spaces",,The spaces should not get filled in Email/Mobile Number field,The spaces is not filled in Email/Mobile Number field,Pass
TC_LG_13,TS_01 (Login),Validate OTP page for not accepting non numerical OTP,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number / Email ID
3) Click Request OTP
4) Start filling the OTP page with non numerical characters",Valid Existing Mobile Number / Email ID,The non numerical values should not get filled in OTP field,The non numerical values is not filled in OTP field,Pass
TC_LG_14,TS_01 (Login),Validate OTP page for not accepting spaces as OTP,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number / Email ID
3) Click Request OTP
4) Start filling the OTP page with spaces",Valid Existing Mobile Number / Email ID,The spaces should not get filled in OTP field,The spaces should not get filled in OTP field,Pass
TC_LG_15,TS_01 (Login),Validate resend otp button functionality in OTP page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number / Email ID
3) Click Request OTP
4) Click Resend code button",Valid Existing Mobile Number / Email ID,A new OTP should be generated and should be sent to Email / Mobile number,A new OTP is generated and is sent to Email / Mobile number,Pass
TC_LG_16,TS_01 (Login),Validate change button functionality in OTP page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number / Email ID
3) Click Request OTP
4) Click change button",Valid Existing Mobile Number / Email ID,The User should be taken to Login page and the Email/ Mobile Number field should be filled with previously filled Email/Mobile number and the user should be able to change it,The User is taken to Login page and the Email/ Mobile Number field is filled with previously filled Email/Mobile number and the user is able to change it,Pass
TC_LG_17,TS_01 (Login),Validate clicking back button after login does not log out user,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number / Email ID
3) Click Request OTP
4) Fill valid otp and click Verify
5) Click Back button",Valid Existing Mobile Number / Email ID,The User should not be logged out or be taken to Login page,The User should not be logged out or be taken to Login page,Pass
TC_LG_18,TS_01 (Login),Validate the OTP expires after 10 minutes,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number / Email ID
3) Click Request OTP
4) Fill valid otp after 10 minutes and click Verify
5) Click Back button",Valid Existing Mobile Number / Email ID,The User should not be logged in and should be shown error,The User is logged in and is shown error,Pass
TC_LG_19,TS_01 (Login),Validate entering valid existing Mobile Number in Sign Up takes user to Login Page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Mobile number with valid existing Mobile number
3) Click Request OTP",,"It should show the error ""You are registered with us. Please Sign in"" and should be taken to Sign in page with provided mobile number already filled in Mobile number/Email field","It shows the error ""You are registered with us. Please Sign in"" and was taken to Sign in page with provided mobile number already filled in Mobile number/Email field",Pass
TC_LG_20,TS_01 (Login),Validate entering valid non existing Mobile Number in Login page takes user to Sign up page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid non existent Mobile number
3) Click Request OTP",,"It should show the error ""You are not registered with us. Please sign up"" and should be taken to Sign up page with provided mobile number already filled in Mobile number field","It shows the error ""You are not registered with us. Please sign up"" and was taken to Sign up page with provided mobile number already filled in Mobile number field",Pass
TC_LG_21,TS_01 (Login),Validate entering valid non existent Email ID takes user to Sign up page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid non existent Email ID
3) Click Request OTP",,"It should show the error ""You are not registered with us. Please sign up"" and should be taken to Sign up page","It shows the error ""You are not registered with us. Please sign up"" and was taken to Sign up page",Pass
TC_LG_22,TS_01 (Login),Validate Terms of Use link functionality in Login page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Click Terms of Use",,The User should be taken to Terms of Use page,The User is taken to Terms of Use page,Pass
TC_LG_23,TS_01 (Login),Validate Privacy policy link functionality in Login page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Click Privacy Policy",,The User should be taken to Privacy Policy page,The User is taken to Privacy Policy page,Pass
TC_LG_24,TS_01 (Login),Validate the UI of Login and OTP page,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number / Email ID
3) Click Request OTP",Valid Existing Mobile Number / Email ID,The UI of both the pages should be according to requirements,The UI of both the pages are according to requirements,Pass
TC_LG_25,TS_01 (Login),Verify the Login Page and OTP page functionality in all the supported environments,"1) Open the site ""https://www.flipkart.com"" in any supported browser","1) Click Login Button in the header
2) Fill the Email/Mobile number with valid Mobile number / Email ID
3) Click Request OTP
4) Repeat from Step-1 for other environments",Valid Existing Mobile Number / Email ID,The Login page and OTP Page should work in all supported environments,The Login page and OTP page works in all supported environments,Pass
